"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Mar 2020",233472.108622139,228025.497867924,238918.719376355,225142.236299339,241801.980944939
"Apr 2020",214578.243087142,208854.225057139,220302.261117144,205824.112947326,223332.373226958
"May 2020",214220.682386045,207960.42716522,220480.937606869,204646.448233687,223794.916538403
"Jun 2020",203025.460058644,196457.557230842,209593.362886446,192980.719493733,213070.200623555
"Jul 2020",207835.75276063,200761.724017825,214909.781503436,197016.959405555,218654.546115705
"Aug 2020",205762.262552279,198300.091741994,213224.433362563,194349.857130708,217174.667973849
"Sep 2020",203269.993979209,195452.237198106,211087.750760312,191313.766744338,215226.22121408
"Oct 2020",216494.17016247,208128.592534069,224859.747790872,203700.12324125,229288.217083691
"Nov 2020",214243.51225784,205520.836894187,222966.187621492,200903.331479137,227583.693036542
"Dec 2020",237157.269837172,227765.385407687,246549.154266656,222793.622112291,251520.917562053
"Jan 2021",245154.248228588,235241.494331896,255067.002125281,229993.999396252,260314.497060925
"Feb 2021",220573.435934534,210546.600959543,230600.270909525,205238.715148986,235908.156720082
"Mar 2021",233472.108622139,222955.043782662,243989.173461616,217387.645957784,249556.571286494
"Apr 2021",214578.243087142,203914.546578819,225241.939595465,198269.526637253,230886.959537031
"May 2021",214220.682386045,203259.49892762,225181.865844469,197456.998907325,230984.365864765
"Jun 2021",203025.460058644,191885.389549093,214165.530568195,185988.192444151,220062.727673137
"Jul 2021",207835.75276063,196389.678087271,219281.827433989,190330.492163015,225341.013358246
"Aug 2021",205762.262552279,194072.025302397,217452.499802161,187883.587517646,223640.937586912
"Sep 2021",203269.993979209,191349.329105008,215190.65885341,185038.91030426,221501.077654158
"Oct 2021",216494.17016247,204206.9925366,228781.347788341,197702.553604991,235285.78671995
"Nov 2021",214243.51225784,201710.178549757,226776.845965923,195075.432459485,233411.592056194
"Dec 2021",237157.269837172,224149.039150156,250165.500524188,217262.897784881,257051.641889462
"Jan 2022",245154.248228588,231764.864459811,258543.631997366,224676.952841073,265631.543616104
"Feb 2022",220573.435934534,207099.103901746,234047.767967322,199966.223388408,241180.64848066
